SMILE A,SMILE B,SMILE C,Young's Modulus (kPa) log10,来源,Swelling Ratio (times),Young's Modulus
C/C(C[*])=C/C[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,3.661812685537261,10.4028_www.scientific.net_amr.844.93_part_1.txt_段1_Material4,,4589.999999999997
CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,6.414973347970818,10.3390_polym13111878_part_2.txt_段1_Material1,,2600000.0000000014
COC(C(C[*])([*])C)=O,O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,6.2552725051033065,10.1590_0104-1428.1924_part_1.txt_段1_Material2,,1800000.0000000016
COC(C(C[*])([*])C)=O,[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,6.447158031342219,10.1016_j.wear.2017.11.024_part_1.txt_段1_Material1,,2800000.0000000014
COC(C(C[*])([*])C)=O,[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,6.8909795969896885,10.1016_j.jngse.2020.103790_part_1.txt_段1_Material1,,7779999.999999993
C[Si](C)(C[*])O[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,5.715167357848458,10.1002_app.48641_part_1.txt_段1_Material1,,518999.99999999977
C[Si](O[*])(C)[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,4.146128035678238,10.1038_s41427-024-00546-8_OA_part_1.txt_段1_Material1,,14000.000000000004
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],CC(C=C([*])C=C1C)=C1O[*],,6.361727836017593,10.1007_s13233-020-8075-3_part_2.txt_段1_Material2,,2300000.000000001
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],COC(C(C[*])([*])C)=O,,6.409933123331294,10.1016_j.polymdegradstab.2017.11.001_part_6.txt_段1_Material1,,2569999.9999999977
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],,6.477121254719663,10.4028_www.scientific.net_amr.912-914.445_part_3.txt_段1_Material2,,3000000.000000001
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C(O)C([*])C[*],,4.260071387985075,10.1016_j.reactfunctpolym.2017.11.001_part_1.txt_段1_Material4,,18200.00000000001
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])C(C)O[*],,6.0,10.1051_matecconf_201925302005_part_1.txt_段1_Material1,,1000000.0
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],,6.740362689494244,10.1177_0954008316661616_part_3.txt_段1_Material1,,5500000.000000004
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])C1=CC=C2C=C(C=CC2=C1)OC(C3=CC=C(C=C3)O[*])=O,,6.099231615080882,10.1016_j.compscitech.2012.01.008_part_1.txt_段1_Material1,,1256699.9999999998
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,6.142702245737616,10.4028_www.scientific.net_amr.750-752.858_part_1.txt_段1_Material1,,1389000.0000000012
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,6.238046103128795,10.1021_acs.iecr.8b06362_part_2.txt_段1_Material1,,1729999.9999999986
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OCC1OC(C(C(C1O[*])O)O)[*],,4.819543935541868,10.1177_0040517511407381_part_1.txt_段1_Material1,,65999.99999999994
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(C)C[*],,5.7160033436348,10.1007_s00289-016-1748-6_part_3.txt_段1_Material1,,520000.0000000014
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,,6.614897216033135,10.1002_adv.21918_part_1.txt_段1_Material1,,4120000.000000008
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(F)(C(F)([*])F)F,,6.477121254719663,10.1080_03602559.2016.1247281_part_6.txt_段1_Material2,,3000000.000000001
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C([H])([H])C(O)([H])[*],,4.862250674597925,10.1016_j.colsurfa.2013.07.014_part_2.txt_段1_Material4,,72819.99999999994
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C/C=C/C[*],,6.466867620354109,10.1007_s42452-019-1406-3_part_2.txt_段1_Material1,,2929999.9999999977
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,5.188084373714938,10.1007_s13233-016-4140-3_part_1.txt_段1_Material1,,154199.99999999994
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1,,6.079181246047625,10.1016_j.jiec.2015.03.022_part_1.txt_段1_Material1,,1200000.0000000007
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(C#N)[*],,5.326335860928752,10.1002_pc.23015_part_1.txt_段1_Material1,,212000.0000000001
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,6.768638101247615,10.26599_nr.2025.94907500_OA_part_1.txt_段1_Material1,,5870000.000000006
